,song,artist,genre,actual_lyrics
163,Wet Dreamz,J. Cole,Hip-Hop,"['Cole', 'Cole world', 'Yeah', ""Let me take y'all back man"", 'As I do so well', ""Wadn't nuttin' like that"", ""Man it wadn't nuttin' like that"", 'First time she was in my math class Uhhuh', 'Long hair brown skin with the fat ass', 'Sat beside me used to laugh had mad jokes', 'The teacher always got mad so we passed notes', ""Got me daydreamin' man what"", ""I'm thinkin' how she rides on it if she sits on it if she licks on it"", 'Make it hard for me to stand up', 'as time goes by', ""Attractions gettin' deep and"", ""Wet dreamin' thinkin' that I'm smashin' but I'm sleepin"", 'I want it bad', ""And I ain't never been obsessed before"", 'She wrote a note that said You ever had sex before Damn']"
164,Nights,Frank Ocean,Soul,"[""Round your city 'round the clock"", 'Everybody needs you', ""No you can't make everybody equal"", 'Although you got beaucoup family', ""You don't even got nobody bein' honest with you"", ""Breathe 'til I evaporated"", 'My whole body seethrough', 'Transportation handmade GAnd I know it better than most people', ""I don't trust 'em anyways"", ""You can't break the law with them"", 'Get some gushy have a calm night', ""Shooters killin' left and right"", ""Workin' through your worst night"", 'If I get my money right', ""You know I won't need you"", 'And I tell you Bitch', 'I hope the sack is full up', ""I'm fuckin' no I'm fucked up"", 'Spend it when I get that', ""I ain't tryna keep you"", ""Can't keep up a conversation"", ""Can't nobody reach you"", 'Why your eyes well up Breathe', 'Did you call me from a sance', 'You are from my past life', ""Hope you're doin' well bruh Breathe"", 'I been out here head first', 'Always like the head first', ""Signal comin' in and out"", ""Hope you're doin' well bruh"", 'Everybody needs you', 'Everybody needs you', ""Ooh 'nani'nani"", 'This feel like a Quaalude', 'No sleep in my body', ""Ain't no bitch in my body Ah""]"
165,I Don’t Fuck with You,Big Sean (Ft. E-40),Rap,"[""I don't fuck with you Mustard on the beat ho"", ""You lil' stupidass bitch I ain't fuckin' with you"", ""You lil' you lil' dumbass bitch I ain't fuckin' with you"", ""I got a million trillion things I'd rather fuckin' do"", ""Than to be fuckin' with you You lil' stupid ass"", ""I don't give a fuck I don't give a fuck"", ""I don't I don't I don't give a fuck"", ""Bitch I don't give a fuck about you or anything that you do"", ""Don't give a fuck about you or anything that you do"", ""I heard you got a new man I see you takin' a pic Woah"", ""Then you post it up thinkin' that it's makin' me sick"", ""Brr brr I see you callin' I be makin' it quick"", ""I'ma answer that shit like I don't fuck with you"", 'Bitch I got no feelings to go', 'I swear I had it up to here I got no ceilings to go', 'I mean for real fuck how you feel', ""Fuck your two cents if it ain't goin' towards the bill yeah"", ""And every day I wake up celebratin' shit why"", 'Cause I just dodged a bullet from a crazy bitch I', ""Stuck to my guns that's what made me rich"", ""That's what put me on that's what got me here that's what made me this This"", 'And everything that I do is my first name BIG', 'These hoes chase bread aw damn she got a bird brain', ""Ain't nothin' but trill in me aw man silly me"", 'I just bought a crib three stories that bitch a trilogy', ""And you know I'm rollin' weed that's fuckin' up the ozone""]"
166,Bad,Wale (Ft. Tiara Thomas),Rap,"['Monogamy or whatever you call it', ""I'm startin' to think it ain't for e'rybody"", 'Chorus Tiara Thomas  Wale', ""Bad girls ain't no good"", ""And the good girls ain't no fun"", ""I ain't 'bout to judge you don't judge me"", ""You ain't gotta really sing about your rap sheet"", 'Cause I heard you Bad no in the literal sense I mean that', ""Rough sex sayin' I love ya but to kiss them is sayin' you mean that Bad no"", 'Oh the irony got the bomb indeed but the problem is probably a deep past', ""Still I'm feelin' of somethin' I need bad"", ""Thinkin' if I get her I get her to need this"", ""I don't need emotions to open your deep sea"", ""I conceive an ocean by goin' between legs"", ""Lord knows she was gone 'fore the morn' hold up""]"
167,Psycho,Post Malone (Ft. Ty Dolla $ign),R&B,"[""Damn my AP goin' psycho lil' mama bad like Michael"", ""Can't really trust nobody with all this jewelry on you"", 'My roof look like a noshow got diamonds by the boatload', 'Come with the Tony Romo for clowns and all the bozos', ""My AP goin' psycho lil' mama bad like Michael"", ""Can't really trust nobody with all this jewelry on you"", 'My roof look like a noshow got diamonds by the boatload', ""Don't act like you my friend when I'm rollin' through my ends though"", 'You stuck in the friend zone I tell that fourfive the fifth ayy', 'Hunnid bands inside my shorts De', 'Chino the shit ayy', ""Try to stuff it all in but it don't even fit ayy"", 'Know that I been with the shits ever since a jit ayy', ""I made my first million I'm like Shit this is it ayy"", '30 for a walkthrough man we had that bitch lit ayy', 'Had so many bottles gave ugly girl a sip', 'Out the window of the Benzo we get seen in the rent', ""And I'm like Woah man my neck so goddamn cold"", 'Diamonds wet my tshirt soaked', 'I got homies let it go oh', ""My money thick won't ever fold"", 'She said Can I have some to hold', ""And I can't ever tell you no""]"
168,I Love It,Lil Pump & Kanye West (Ft. Adele Givens),Rap,"['Cause you know in the old days', ""They couldn't say the shit they wanted to say"", 'They had to fake orgasms and shit', 'We can tell niggas today', 'Hey I wanna cum mothafucka', 'Your boyfriend is a dork Mc', 'Lovin Dork', 'Mc', 'Lovin ooh ooh ooh', 'I just pulled up in a Ghost Ghost', 'Fucked that bitch up out in London Up out in', 'Then I fucked up on her cousin', ""Or her sister I don't know nothin' Uhuh woo"", ""And my niggas gettin' ignorant"", 'Like a lighter bitch we ignant Ignant yeah', 'All this water on my neck', ""Look like I fell when I went fishin' Fell"", 'So much diamonds on my bust down', ""Me and Smokepurpp sippin' drank Purpp"", 'Ooh fuck she take lines Lines']"
169,everything i wanted,Billie Eilish,Pop,"['I had a dream', 'I got everything I wanted', ""Not what you'd think"", ""And if I'm bein' honest"", ""Itmight'vebeen a nightmare"", 'Toanyone who might care', 'Thought I couldfly Fly', 'So I stepped off the Golden mm', 'Nobody cried Cried cried cried cried', 'Nobody even noticed', 'I saw them standing right there', 'Kinda thought they might care Might care might care', 'I had a dream', 'I got everything I wanted', 'But when I wake up I see', 'You with me', ""And you say As long as I'm here no one can hurt you"", ""Don't wanna lie here but you can learn to"", 'If I could change the way that you see yourself', ""You wouldn't wonder why you hear'They don't deserve you""]"
170,Killing in the Name,Rage Against the Machine,Rap,"['Killing in the name of', 'Some of those that work forces', 'Are the same that burn crosses', 'Some of those that work forces', 'Are the same that burn crosses', 'Some of those that work forces', 'Are the same that burn crosses', 'Some of those that work forces', 'Are the same that burn crosses', 'Refrain', 'Killing in the name of', 'Killing in the name of', 'Pre', 'Chorus', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'And now you do what they told ya', 'But now you do what they told ya', 'Well now you do what they told ya']"
171,See You Again,"Tyler, The Creator (Ft. Kali Uchis)",Rap,"['Okay okay okay okay okay okay o', 'You live in my dream state', 'Relocate my fantasy', 'I stay in reality', 'You live in my dream state', 'Any time I count sheep', ""That's the only time we make up make up"", 'You exist behind my eyelids my eyelids', ""Now I don't wanna wake up"", '2020 2020 vision', 'Cupid hit me Cupid hit me with precision I', 'Wonder if you look both ways when you cross my mind Yeah', 'I said I said', ""I'm sick of sick of sick of sick of chasin'You're the one that's always running through my daydream II can only see your face when I close my eyes"", 'Uhhuh', 'Chorus Kali Uchis  Tyler The Creator', 'Can I get a kiss Ah', 'And can you make it last forever', ""I said I'm 'bout to go to war Uhhuh"", ""And I don't know if I'ma see you again"", 'Can I get a kiss Can IAnd can you make it last forever Can you', ""I said I'm 'bout to go to war 'Bout to"", ""And I don't know if I'ma see you again"", 'Ugh switch it up']"
172,Rewrite the Stars,Zac Efron & Zendaya,Pop,"['You know I want you', ""It's not a secret I try to hide"", 'I know you want me', ""So don't keep sayin' our hands are tied"", ""You claim it's not in the cards"", 'And fate is pulling you miles away and out of reach from me', ""But you're here in my heart"", ""So who can stop me if I decide that you're my destiny"", 'What if we rewrite the stars', ""You think it's easy"", ""You think I don't want to run to you"", 'But there are mountains', ""And there are doors that we can't walk through"", ""I know you're wonderin' why"", ""Because we're able to be just you and me within these walls"", 'But when we go outside', ""You're gonna wake up and see that it was hopeless after all""]"
173,Girls Like You (Remix),Maroon 5 (Ft. Cardi B),Rap,"['Roll that Backwood babe', 'come through']"
174,Butter,BTS,Pop,"['Smooth like butter', 'Like a criminal undercover', ""Gon' pop like trouble"", 'Cool shade stunner', 'Break it down', 'Ooh when I look in the mirror', 'High like the moon rock with me baby', ""Let me show you 'cause talk is cheap"", ""Don't need no Usher"", 'To remind me you got it', ' bad', 'Break it down']"
175,The Box,Roddy Ricch,Rap,"['Chorus', ""Pullin' out the coupe at the lot"", ""Told 'em fuck 12 fuck SWAT"", ""Bustin' all the bellsoutthe box"", 'I justhit a lick with the box', 'Hadto put the stick in the box mmh', ""Pour up the whole damn seal I'ma get lazy"", ""I got the mojo deals we been trappin' like the '80s"", 'She sucked a nigga soul gotta Cash App', ""Told 'em wipe a nigga nose say slatt slatt"", ""I won't never sell my soul and I can back that"", 'Cruise the city in a bulletproof Cadillac Skrrt', 'Cause I know these niggas after where the bag at', 'Nigga try to get me for my water', ""I'll lay his ass down on my son on my daughter"", 'I had the Draco with me Dwayne Carter', ""Lotta niggas out here playin' ain't ballin'I done put my whole arm in the rim Vince Carter Yeah"", ""Shawty barely seen in double C's I bought 'em"", ""Got a bitch that's looking like Aaliyah she a model"", 'I got the pink slip all my whips is keyless', ""Compton I'm about to get the key to the city"", 'Patek like the sea forgive me']"
176,No Church in the Wild,JAY-Z & Kanye West (Ft. Frank Ocean & The-Dream),R&B,"['Human beings in a mob', ""What's a mob to a king"", ""What's a king to a god"", ""What's a god to a nonbeliever"", ""Who don't believe in anything"", 'Will he make it out alive', 'Alright alright', 'No church in the wild', 'Tears on the mausoleum floor', 'Blood stains the Colosseum doors', 'Lies on the lips of a priest', 'Thanksgiving disguised as a feast', 'Rolling in the Rolls', 'Royce Corniche', ""Only the doctors got this I'm hiding from police"", 'Cocaine seats', 'All white like I got the whole thing bleached', 'Drug dealer chic', ""I'm wondering if a thug's prayers reach"", ""Is Pius pious 'cause God loves pious"", ""Socrates asked whose bias do y'all seek"", 'All for Plato screech', ""I'm out here balling I know y'all hear my sneaks"", 'Jesus was a carpenter Yeezy laid beats', 'Hova flow the Holy Ghost get the hell up out your seats', 'Preach']"
177,GOOD CREDIT,Playboi Carti & Kendrick Lamar,Rap,"[""Good credit 'Cause I'm"", ""Now I'm 'bout to apply for Home Depot credit"", 'Now I got a thirtyfivethousanddollar credit', 'We got a temporary receipt', 'All I gotta do is show it to the cashier', ""And she gon' let it slide through"", 'All I gotta do is show it to the cashier', ""And she gon' let it slide through"", 'She tryna be part of my schedule I told her Ho come back tomorrow', ""I been feelin' myself all day I told lil' twin Call Latto"", 'I was in Paris tryna catch a vibe I fucked around and seen a ho', 'Tattoos all on my face', ""I'm an alien off that molly I see stars I see space""]"
